variable,Long,column,DataPack file,year
Selected Person Characteristics By Sex,Age Group 20 24 Years 2021 Census Females,Age_20_24_C21_F,T01,2021
Selected Person Characteristics By Sex,Age Group 20 24 Years 2021 Census Persons,Age_20_24_C21_P,T01,2021
Selected Person Characteristics By Sex,Age Group 25 34 Years 2011 Census Males,Age_25_34_C11_M,T01,2011
Selected Person Characteristics By Sex,Age Group 25 34 Years 2011 Census Females,Age_25_34_C11_F,T01,2011
Selected Person Characteristics By Sex,Age Group 25 34 Years 2011 Census Persons,Age_25_34_C11_P,T01,2011
Selected Person Characteristics By Sex,Age Group 25 34 Years 2016 Census Males,Age_25_34_C16_M,T01,2016
Selected Person Characteristics By Sex,Age Group 25 34 Years 2016 Census Females,Age_25_34_C16_F,T01,2016
Selected Person Characteristics By Sex,Age Group 25 34 Years 2016 Census Persons,Age_25_34_C16_P,T01,2016
Selected Person Characteristics By Sex,Age Group 25 34 Years 2021 Census Males,Age_25_34_C21_M,T01,2021
Selected Person Characteristics By Sex,Age Group 25 34 Years 2021 Census Females,Age_25_34_C21_F,T01,2021
Selected Person Characteristics By Sex,Age Group 25 34 Years 2021 Census Persons,Age_25_34_C21_P,T01,2021
Selected Person Characteristics By Sex,Age Group 35 44 Years 2011 Census Males,Age_35_44_C11_M,T01,2011
Selected Person Characteristics By Sex,Age Group 35 44 Years 2011 Census Females,Age_35_44_C11_F,T01,2011
Selected Person Characteristics By Sex,Age Group 35 44 Years 2011 Census Persons,Age_35_44_C11_P,T01,2011
Selected Person Characteristics By Sex,Age Group 35 44 Years 2016 Census Males,Age_35_44_C16_M,T01,2016
Selected Person Characteristics By Sex,Age Group 35 44 Years 2016 Census Females,Age_35_44_C16_F,T01,2016
Selected Person Characteristics By Sex,Age Group 35 44 Years 2016 Census Persons,Age_35_44_C16_P,T01,2016
Selected Person Characteristics By Sex,Age Group 35 44 Years 2021 Census Males,Age_35_44_C21_M,T01,2021
Selected Person Characteristics By Sex,Age Group 35 44 Years 2021 Census Females,Age_35_44_C21_F,T01,2021
Selected Person Characteristics By Sex,Age Group 35 44 Years 2021 Census Persons,Age_35_44_C21_P,T01,2021
Selected Person Characteristics By Sex,Age Group 45 54 Years 2011 Census Males,Age_45_54_C11_M,T01,2011
Selected Person Characteristics By Sex,Age Group 45 54 Years 2011 Census Females,Age_45_54_C11_F,T01,2011
Selected Person Characteristics By Sex,Age Group 45 54 Years 2011 Census Persons,Age_45_54_C11_P,T01,2011
Selected Person Characteristics By Sex,Age Group 45 54 Years 2016 Census Males,Age_45_54_C16_M,T01,2016
Selected Person Characteristics By Sex,Age Group 45 54 Years 2016 Census Females,Age_45_54_C16_F,T01,2016
Selected Person Characteristics By Sex,Age Group 45 54 Years 2016 Census Persons,Age_45_54_C16_P,T01,2016
Selected Person Characteristics By Sex,Age Group 45 54 Years 2021 Census Males,Age_45_54_C21_M,T01,2021
Selected Person Characteristics By Sex,Age Group 45 54 Years 2021 Census Females,Age_45_54_C21_F,T01,2021
Selected Person Characteristics By Sex,Age Group 45 54 Years 2021 Census Persons,Age_45_54_C21_P,T01,2021
Selected Person Characteristics By Sex,Age Group 55 64 Years 2011 Census Males,Age_55_64_C11_M,T01,2011
Selected Person Characteristics By Sex,Age Group 55 64 Years 2011 Census Females,Age_55_64_C11_F,T01,2011
Selected Person Characteristics By Sex,Age Group 55 64 Years 2011 Census Persons,Age_55_64_C11_P,T01,2011
Selected Person Characteristics By Sex,Age Group 55 64 Years 2016 Census Males,Age_55_64_C16_M,T01,2016
Selected Person Characteristics By Sex,Age Group 55 64 Years 2016 Census Females,Age_55_64_C16_F,T01,2016
Selected Person Characteristics By Sex,Age Group 55 64 Years 2016 Census Persons,Age_55_64_C16_P,T01,2016
Selected Person Characteristics By Sex,Age Group 55 64 Years 2021 Census Males,Age_55_64_C21_M,T01,2021
Selected Person Characteristics By Sex,Age Group 55 64 Years 2021 Census Females,Age_55_64_C21_F,T01,2021
Selected Person Characteristics By Sex,Age Group 55 64 Years 2021 Census Persons,Age_55_64_C21_P,T01,2021
Selected Person Characteristics By Sex,Age Group 65 74 Years 2011 Census Males,Age_65_74_C11_M,T01,2011
Selected Person Characteristics By Sex,Age Group 65 74 Years 2011 Census Females,Age_65_74_C11_F,T01,2011
Selected Person Characteristics By Sex,Age Group 65 74 Years 2011 Census Persons,Age_65_74_C11_P,T01,2011
Selected Person Characteristics By Sex,Age Group 65 74 Years 2016 Census Males,Age_65_74_C16_M,T01,2016
Selected Person Characteristics By Sex,Age Group 65 74 Years 2016 Census Females,Age_65_74_C16_F,T01,2016
Selected Person Characteristics By Sex,Age Group 65 74 Years 2016 Census Persons,Age_65_74_C16_P,T01,2016
Selected Person Characteristics By Sex,Age Group 65 74 Years 2021 Census Males,Age_65_74_C21_M,T01,2021
Selected Person Characteristics By Sex,Age Group 65 74 Years 2021 Census Females,Age_65_74_C21_F,T01,2021
Selected Person Characteristics By Sex,Age Group 65 74 Years 2021 Census Persons,Age_65_74_C21_P,T01,2021
Selected Person Characteristics By Sex,Age Group 75 84 Years 2011 Census Males,Age_75_84_C11_M,T01,2011
Selected Person Characteristics By Sex,Age Group 75 84 Years 2011 Census Females,Age_75_84_C11_F,T01,2011
Selected Person Characteristics By Sex,Age Group 75 84 Years 2011 Census Persons,Age_75_84_C11_P,T01,2011
Selected Person Characteristics By Sex,Age Group 75 84 Years 2016 Census Males,Age_75_84_C16_M,T01,2016
Selected Person Characteristics By Sex,Age Group 75 84 Years 2016 Census Females,Age_75_84_C16_F,T01,2016
Selected Person Characteristics By Sex,Age Group 75 84 Years 2016 Census Persons,Age_75_84_C16_P,T01,2016
Selected Person Characteristics By Sex,Age Group 75 84 Years 2021 Census Males,Age_75_84_C21_M,T01,2021
Selected Person Characteristics By Sex,Age Group 75 84 Years 2021 Census Females,Age_75_84_C21_F,T01,2021
Selected Person Characteristics By Sex,Age Group 75 84 Years 2021 Census Persons,Age_75_84_C21_P,T01,2021
Selected Person Characteristics By Sex,Age Group 85 Years And Over 2011 Census Males,Age_grp_85over_C11_M,T01,2011
Selected Person Characteristics By Sex,Age Group 85 Years And Over 2011 Census Females,Age_grp_85over_C11_F,T01,2011
Selected Person Characteristics By Sex,Age Group 85 Years And Over 2011 Census Persons,Age_grp_85over_C11_P,T01,2011
Selected Person Characteristics By Sex,Age Group 85 Years And Over 2016 Census Males,Age_grp_85over_C16_M,T01,2016
Selected Person Characteristics By Sex,Age Group 85 Years And Over 2016 Census Females,Age_grp_85over_C16_F,T01,2016
Selected Person Characteristics By Sex,Age Group 85 Years And Over 2016 Census Persons,Age_grp_85over_C16_P,T01,2016
Selected Person Characteristics By Sex,Age Group 85 Years And Over 2021 Census Males,Age_grp_85over_C21_M,T01,2021
Selected Person Characteristics By Sex,Age Group 85 Years And Over 2021 Census Females,Age_grp_85over_C21_F,T01,2021
Selected Person Characteristics By Sex,Age Group 85 Years And Over 2021 Census Persons,Age_grp_85over_C21_P,T01,2021
Selected Person Characteristics By Sex,Overseas Visitors 2011 Census Males,OS_vis_C11_M,T01,2011
Selected Person Characteristics By Sex,Overseas Visitors 2011 Census Females,OS_vis_C11_F,T01,2011
Selected Person Characteristics By Sex,Overseas Visitors 2011 Census Persons,OS_vis_C11_P,T01,2011
Selected Person Characteristics By Sex,Overseas Visitors 2016 Census Males,OS_vis_C16_M,T01,2016
Selected Person Characteristics By Sex,Overseas Visitors 2016 Census Females,OS_vis_C16_F,T01,2016
Selected Person Characteristics By Sex,Overseas Visitors 2016 Census Persons,OS_vis_C16_P,T01,2016
Selected Person Characteristics By Sex,Overseas Visitors 2021 Census Males,OS_vis_C21_M,T01,2021
Selected Person Characteristics By Sex,Overseas Visitors 2021 Census Females,OS_vis_C21_F,T01,2021
Selected Person Characteristics By Sex,Overseas Visitors 2021 Census Persons,OS_vis_C21_P,T01,2021
Selected Person Characteristics By Sex,Aboriginal And Or Torres Strait Islander Persons Aboriginal 2011 Census Males,IP_Abor_C11_M,T01,2011
Selected Person Characteristics By Sex,Aboriginal And Or Torres Strait Islander Persons Aboriginal 2011 Census Females,IP_Abor_C11_F,T01,2011
Selected Person Characteristics By Sex,Aboriginal And Or Torres Strait Islander Persons Aboriginal 2011 Census Persons,IP_Abor_C11_P,T01,2011
Selected Person Characteristics By Sex,Aboriginal And Or Torres Strait Islander Persons Aboriginal 2016 Census Males,IP_Abor_C16_M,T01,2016
Selected Person Characteristics By Sex,Aboriginal And Or Torres Strait Islander Persons Aboriginal 2016 Census Females,IP_Abor_C16_F,T01,2016
Selected Person Characteristics By Sex,Aboriginal And Or Torres Strait Islander Persons Aboriginal 2016 Census Persons,IP_Abor_C16_P,T01,2016
Selected Person Characteristics By Sex,Aboriginal And Or Torres Strait Islander Persons Aboriginal 2021 Census Males,IP_Abor_C21_M,T01,2021
Selected Person Characteristics By Sex,Aboriginal And Or Torres Strait Islander Persons Aboriginal 2021 Census Females,IP_Abor_C21_F,T01,2021
Selected Person Characteristics By Sex,Aboriginal And Or Torres Strait Islander Persons Aboriginal 2021 Census Persons,IP_Abor_C21_P,T01,2021
Selected Person Characteristics By Sex,Aboriginal And Or Torres Strait Islander Persons Torres Strait Islander 2011 Census Males,IP_Tor_Strt_Is_2011_Ce_M,T01,2011
Selected Person Characteristics By Sex,Aboriginal And Or Torres Strait Islander Persons Torres Strait Islander 2011 Census Females,IP_Tor_Strt_Is_2011_Ce_F,T01,2011
Selected Person Characteristics By Sex,Aboriginal And Or Torres Strait Islander Persons Torres Strait Islander 2011 Census Persons,IP_Tor_Strt_Is_2011_Ce_P,T01,2011
Selected Person Characteristics By Sex,Aboriginal And Or Torres Strait Islander Persons Torres Strait Islander 2016 Census Males,IP_Tor_Strt_Is_2016_Ce_M,T01,2016
Selected Person Characteristics By Sex,Aboriginal And Or Torres Strait Islander Persons Torres Strait Islander 2016 Census Females,IP_Tor_Strt_Is_2016_Ce_F,T01,2016
Selected Person Characteristics By Sex,Aboriginal And Or Torres Strait Islander Persons Torres Strait Islander 2016 Census Persons,IP_Tor_Strt_Is_2016_Ce_P,T01,2016
Selected Person Characteristics By Sex,Aboriginal And Or Torres Strait Islander Persons Torres Strait Islander 2021 Census Males,IP_Tor_Strt_Is_2021_Ce_M,T01,2021
Selected Person Characteristics By Sex,Aboriginal And Or Torres Strait Islander Persons Torres Strait Islander 2021 Census Females,IP_Tor_Strt_Is_2021_Ce_F,T01,2021
Selected Person Characteristics By Sex,Aboriginal And Or Torres Strait Islander Persons Torres Strait Islander 2021 Census Persons,IP_Tor_Strt_Is_2021_Ce_P,T01,2021
Selected Person Characteristics By Sex,Aboriginal And Or Torres Strait Islander Persons Both Aboriginal And Torres Strait Islander 2011 Census Males,IP_B_Ab_To_St_Is_2011_Ce_M,T01,2011
Selected Person Characteristics By Sex,Aboriginal And Or Torres Strait Islander Persons Both Aboriginal And Torres Strait Islander 2011 Census Females,IP_B_Ab_To_St_Is_2011_Ce_F,T01,2011
Selected Person Characteristics By Sex,Aboriginal And Or Torres Strait Islander Persons Both Aboriginal And Torres Strait Islander 2011 Census Persons,IP_B_Ab_To_St_Is_2011_Ce_P,T01,2011
Selected Person Characteristics By Sex,Aboriginal And Or Torres Strait Islander Persons Both Aboriginal And Torres Strait Islander 2016 Census Males,IP_B_Ab_To_St_Is_2016_Ce_M,T01,2016
Selected Person Characteristics By Sex,Aboriginal And Or Torres Strait Islander Persons Both Aboriginal And Torres Strait Islander 2016 Census Females,IP_B_Ab_To_St_Is_2016_Ce_F,T01,2016
Selected Person Characteristics By Sex,Aboriginal And Or Torres Strait Islander Persons Both Aboriginal And Torres Strait Islander 2016 Census Persons,IP_B_Ab_To_St_Is_2016_Ce_P,T01,2016
Selected Person Characteristics By Sex,Aboriginal And Or Torres Strait Islander Persons Both Aboriginal And Torres Strait Islander 2021 Census Males,IP_B_Ab_To_St_Is_2021_Ce_M,T01,2021
Selected Person Characteristics By Sex,Aboriginal And Or Torres Strait Islander Persons Both Aboriginal And Torres Strait Islander 2021 Census Females,IP_B_Ab_To_St_Is_2021_Ce_F,T01,2021
Selected Person Characteristics By Sex,Aboriginal And Or Torres Strait Islander Persons Both Aboriginal And Torres Strait Islander 2021 Census Persons,IP_B_Ab_To_St_Is_2021_Ce_P,T01,2021
Selected Person Characteristics By Sex,Aboriginal And Or Torres Strait Islander Persons Total 2011 Census Males,IP_Tot_2011_Ce_M,T01,2011
Selected Person Characteristics By Sex,Aboriginal And Or Torres Strait Islander Persons Total 2011 Census Females,IP_Tot_2011_Ce_F,T01,2011
Selected Person Characteristics By Sex,Aboriginal And Or Torres Strait Islander Persons Total 2011 Census Persons,IP_Tot_2011_Ce_P,T01,2011
Selected Person Characteristics By Sex,Aboriginal And Or Torres Strait Islander Persons Total 2016 Census Males,IP_Tot_2016_Ce_M,T01,2016
Selected Person Characteristics By Sex,Aboriginal And Or Torres Strait Islander Persons Total 2016 Census Females,IP_Tot_2016_Ce_F,T01,2016
Selected Person Characteristics By Sex,Aboriginal And Or Torres Strait Islander Persons Total 2016 Census Persons,IP_Tot_2016_Ce_P,T01,2016
Selected Person Characteristics By Sex,Aboriginal And Or Torres Strait Islander Persons Total 2021 Census Males,IP_Tot_2021_Ce_M,T01,2021
Selected Person Characteristics By Sex,Aboriginal And Or Torres Strait Islander Persons Total 2021 Census Females,IP_Tot_2021_Ce_F,T01,2021
Selected Person Characteristics By Sex,Aboriginal And Or Torres Strait Islander Persons Total 2021 Census Persons,IP_Tot_2021_Ce_P,T01,2021
Selected Person Characteristics By Sex,Birthplace Australia 2011 Census Males,Brthplace_Aust_2011_Ce_M,T01,2011
Selected Person Characteristics By Sex,Birthplace Australia 2011 Census Females,Brthplace_Aust_2011_Ce_F,T01,2011
Selected Person Characteristics By Sex,Birthplace Australia 2011 Census Persons,Brthplace_Aust_2011_Ce_P,T01,2011
Selected Person Characteristics By Sex,Birthplace Australia 2016 Census Males,Brthplace_Aust_2016_Ce_M,T01,2016
Selected Person Characteristics By Sex,Birthplace Australia 2016 Census Females,Brthplace_Aust_2016_Ce_F,T01,2016
Selected Person Characteristics By Sex,Birthplace Australia 2016 Census Persons,Brthplace_Aust_2016_Ce_P,T01,2016
Selected Person Characteristics By Sex,Birthplace Australia 2021 Census Males,Brthplace_Aust_2021_Ce_M,T01,2021
Selected Person Characteristics By Sex,Birthplace Australia 2021 Census Females,Brthplace_Aust_2021_Ce_F,T01,2021
Selected Person Characteristics By Sex,Birthplace Australia 2021 Census Persons,Brthplace_Aust_2021_Ce_P,T01,2021
Selected Person Characteristics By Sex,Birthplace Elsewhere 2011 Census Males,Brthplace_Elsewhere_2011_Ce_M,T01,2011
Selected Person Characteristics By Sex,Birthplace Elsewhere 2011 Census Females,Brthplace_Elsewhere_2011_Ce_F,T01,2011
Selected Person Characteristics By Sex,Birthplace Elsewhere 2011 Census Persons,Brthplace_Elsewhere_2011_Ce_P,T01,2011
Selected Person Characteristics By Sex,Birthplace Elsewhere 2016 Census Males,Brthplace_Elsewhere_2016_Ce_M,T01,2016
Selected Person Characteristics By Sex,Birthplace Elsewhere 2016 Census Females,Brthplace_Elsewhere_2016_Ce_F,T01,2016
Selected Person Characteristics By Sex,Birthplace Elsewhere 2016 Census Persons,Brthplace_Elsewhere_2016_Ce_P,T01,2016
Selected Person Characteristics By Sex,Birthplace Elsewhere 2021 Census Males,Brthplace_Elsewhere_2021_Ce_M,T01,2021
Selected Person Characteristics By Sex,Birthplace Elsewhere 2021 Census Females,Brthplace_Elsewhere_2021_Ce_F,T01,2021
Selected Person Characteristics By Sex,Birthplace Elsewhere 2021 Census Persons,Brthplace_Elsewhere_2021_Ce_P,T01,2021
Selected Person Characteristics By Sex,Language Spoken At Home English Only 2011 Census Males,LSH_Eng_only_2011_Ce_M,T01,2011
Selected Person Characteristics By Sex,Language Spoken At Home English Only 2011 Census Females,LSH_Eng_only_2011_Ce_F,T01,2011
Selected Person Characteristics By Sex,Language Spoken At Home English Only 2011 Census Persons,LSH_Eng_only_2011_Ce_P,T01,2011
Selected Person Characteristics By Sex,Language Spoken At Home English Only 2016 Census Males,LSH_Eng_only_2016_Ce_M,T01,2016
Selected Person Characteristics By Sex,Language Spoken At Home English Only 2016 Census Females,LSH_Eng_only_2016_Ce_F,T01,2016
Selected Person Characteristics By Sex,Language Spoken At Home English Only 2016 Census Persons,LSH_Eng_only_2016_Ce_P,T01,2016
Selected Person Characteristics By Sex,Language Spoken At Home English Only 2021 Census Males,LSH_Eng_only_2021_Ce_M,T01,2021
Selected Person Characteristics By Sex,Language Spoken At Home English Only 2021 Census Females,LSH_Eng_only_2021_Ce_F,T01,2021
Selected Person Characteristics By Sex,Language Spoken At Home English Only 2021 Census Persons,LSH_Eng_only_2021_Ce_P,T01,2021
Selected Person Characteristics By Sex,Language Spoken At Home Other Language 2011 Census Males,LSH_Oth_Lan_2011_Ce_M,T01,2011
Selected Person Characteristics By Sex,Language Spoken At Home Other Language 2011 Census Females,LSH_Oth_Lan_2011_Ce_F,T01,2011
Selected Person Characteristics By Sex,Language Spoken At Home Other Language 2011 Census Persons,LSH_Oth_Lan_2011_Ce_P,T01,2011
Selected Person Characteristics By Sex,Language Spoken At Home Other Language 2016 Census Males,LSH_Oth_Lan_2016_Ce_M,T01,2016
Selected Person Characteristics By Sex,Language Spoken At Home Other Language 2016 Census Females,LSH_Oth_Lan_2016_Ce_F,T01,2016
Selected Person Characteristics By Sex,Language Spoken At Home Other Language 2016 Census Persons,LSH_Oth_Lan_2016_Ce_P,T01,2016
Selected Person Characteristics By Sex,Language Spoken At Home Other Language 2021 Census Males,LSH_Oth_Lan_2021_Ce_M,T01,2021
Selected Person Characteristics By Sex,Language Spoken At Home Other Language 2021 Census Females,LSH_Oth_Lan_2021_Ce_F,T01,2021
Selected Person Characteristics By Sex,Language Spoken At Home Other Language 2021 Census Persons,LSH_Oth_Lan_2021_Ce_P,T01,2021
Selected Person Characteristics By Sex,Australian Citizen 2011 Census Males,Aust_citiz_C11_M,T01,2011
Selected Person Characteristics By Sex,Australian Citizen 2011 Census Females,Aust_citiz_C11_F,T01,2011
Selected Person Characteristics By Sex,Australian Citizen 2011 Census Persons,Aust_citiz_C11_P,T01,2011
Selected Person Characteristics By Sex,Australian Citizen 2016 Census Males,Aust_citiz_C16_M,T01,2016
Selected Person Characteristics By Sex,Australian Citizen 2016 Census Females,Aust_citiz_C16_F,T01,2016
Selected Person Characteristics By Sex,Australian Citizen 2016 Census Persons,Aust_citiz_C16_P,T01,2016
Selected Person Characteristics By Sex,Australian Citizen 2021 Census Males,Aust_citiz_C21_M,T01,2021
Selected Person Characteristics By Sex,Australian Citizen 2021 Census Females,Aust_citiz_C21_F,T01,2021
Selected Person Characteristics By Sex,Australian Citizen 2021 Census Persons,Aust_citiz_C21_P,T01,2021
Selected Medians And Averages,Median Age Of Persons Census Year 2011,Med_age_persns_C2011,T02,2011
Selected Medians And Averages,Median Age Of Persons Census Year 2016,Med_age_persns_C2016,T02,2016
Selected Medians And Averages,Median Age Of Persons Census Year 2021,Med_age_persns_C2021,T02,2021
Selected Medians And Averages,Median Mortgage Repayment Monthly Census Year 2011,Med_mortg_rep_mon_C2011,T02,2011
Selected Medians And Averages,Median Mortgage Repayment Monthly Census Year 2016,Med_mortg_rep_mon_C2016,T02,2016
Selected Medians And Averages,Median Mortgage Repayment Monthly Census Year 2021,Med_mortg_rep_mon_C2021,T02,2021
Selected Medians And Averages,Median Total Personal Income Weekly Census Year 2011,Med_person_inc_we_C2011,T02,2011
Selected Medians And Averages,Median Total Personal Income Weekly Census Year 2016,Med_person_inc_we_C2016,T02,2016
Selected Medians And Averages,Median Total Personal Income Weekly Census Year 2021,Med_person_inc_we_C2021,T02,2021
Selected Medians And Averages,Median Rent Weekly Census Year 2011,Med_rent_weekly_C2011,T02,2011
Selected Medians And Averages,Median Rent Weekly Census Year 2016,Med_rent_weekly_C2016,T02,2016
Selected Medians And Averages,Median Rent Weekly Census Year 2021,Med_rent_weekly_C2021,T02,2021
Selected Medians And Averages,Median Total Family Income Weekly Census Year 2011,Med_Famly_inc_we_C2011,T02,2011
Selected Medians And Averages,Median Total Family Income Weekly Census Year 2016,Med_Famly_inc_we_C2016,T02,2016
Selected Medians And Averages,Median Total Family Income Weekly Census Year 2021,Med_Famly_inc_we_C2021,T02,2021
Selected Medians And Averages,Average Number Of Persons Per Bedroom Census Year 2011,Avg_num_p_per_brm_C2011,T02,2011
Selected Medians And Averages,Average Number Of Persons Per Bedroom Census Year 2016,Avg_num_p_per_brm_C2016,T02,2016
Selected Medians And Averages,Average Number Of Persons Per Bedroom Census Year 2021,Avg_num_p_per_brm_C2021,T02,2021
Selected Medians And Averages,Median Total Household Income Weekly Census Year 2011,Med_tot_hh_inc_wee_C2011,T02,2011
Selected Medians And Averages,Median Total Household Income Weekly Census Year 2016,Med_tot_hh_inc_wee_C2016,T02,2016
Selected Medians And Averages,Median Total Household Income Weekly Census Year 2021,Med_tot_hh_inc_wee_C2021,T02,2021
Selected Medians And Averages,Average Household Size Census Year 2011,Average_hh_size_C2011,T02,2011
Selected Medians And Averages,Average Household Size Census Year 2016,Average_hh_size_C2016,T02,2016
Selected Medians And Averages,Average Household Size Census Year 2021,Average_hh_size_C2021,T02,2021
Age By Sex,Age Years 19 2011 Census Persons,Age_19_C11_P,T03B,2011
Age By Sex,Age Years 19 2016 Census Males,Age_19_C16_M,T03B,2016
Age By Sex,Age Years 19 2016 Census Females,Age_19_C16_F,T03B,2016
Age By Sex,Age Years 19 2016 Census Persons,Age_19_C16_P,T03B,2016
Age By Sex,Age Years 19 2021 Census Males,Age_19_C21_M,T03B,2021
Age By Sex,Age Years 19 2021 Census Females,Age_19_C21_F,T03B,2021
Age By Sex,Age Years 19 2021 Census Persons,Age_19_C21_P,T03B,2021
Age By Sex,Age Years 15 19 Years 2011 Census Males,Age_15_19_C11_M,T03B,2011
Age By Sex,Age Years 15 19 Years 2011 Census Females,Age_15_19_C11_F,T03B,2011
Age By Sex,Age Years 15 19 Years 2011 Census Persons,Age_15_19_C11_P,T03B,2011
Age By Sex,Age Years 15 19 Years 2016 Census Males,Age_15_19_C16_M,T03B,2016
Age By Sex,Age Years 15 19 Years 2016 Census Females,Age_15_19_C16_F,T03B,2016
Age By Sex,Age Years 15 19 Years 2016 Census Persons,Age_15_19_C16_P,T03B,2016
Age By Sex,Age Years 15 19 Years 2021 Census Males,Age_15_19_C21_M,T03B,2021
Age By Sex,Age Years 15 19 Years 2021 Census Females,Age_15_19_C21_F,T03B,2021
Age By Sex,Age Years 15 19 Years 2021 Census Persons,Age_15_19_C21_P,T03B,2021
Age By Sex,Age Years 20 2011 Census Males,Age_20_C11_M,T03B,2011
Age By Sex,Age Years 20 2011 Census Females,Age_20_C11_F,T03B,2011
Age By Sex,Age Years 20 2011 Census Persons,Age_20_C11_P,T03B,2011
Age By Sex,Age Years 20 2016 Census Males,Age_20_C16_M,T03B,2016
Age By Sex,Age Years 20 2016 Census Females,Age_20_C16_F,T03B,2016
Age By Sex,Age Years 20 2016 Census Persons,Age_20_C16_P,T03B,2016
Age By Sex,Age Years 20 2021 Census Males,Age_20_C21_M,T03B,2021
Age By Sex,Age Years 20 2021 Census Females,Age_20_C21_F,T03B,2021
